Time,V(I=0.0),V(I=0.3),V(I=0.6)
204.5,-1.1994080352440357,-0.9919419414544522,0.3383420339967232
205.0,-1.1994080352440357,-0.992247715320063,0.0017472366007874607
205.5,-1.1994080352440357,-0.9925667165064598,-0.5304428893731893
206.0,-1.1994080352440357,-0.9928922667272401,-1.2627389086752343
206.5,-1.1994080352440357,-0.9932177128286139,-1.7503262029064666
207.0,-1.1994080352440357,-0.9935365650723273,-1.8658716785108116
207.5,-1.1994080352440357,-0.993842628803399,-1.8986355957906358
208.0,-1.1994080352440357,-0.9941301264132621,-1.9017817720092087
208.5,-1.1994080352440357,-0.9943938068580844,-1.8904774129477062
209.0,-1.1994080352440357,-0.9946290404311989,-1.8712280867985533
